code,percentage,names,series
YND10,49.96,เอนจอย ธิดารัตน์ ปรือทอง - จูน  ณัณณิริณ วโรกรวัชระคุณณ์รินไม่มีวันรัก,Denied Love Series
YND06,48.28,น้ำตาล ทิพนารี วีรวัฒโนดม - ฟิล์ม รชานันท์ มหาวรรณ์Pluto นิทาน ดวงดาว ความรัก,
YND07,0.57,เอมี่ ทสร กลิ่นเนียม -  บอนนี่-ภัทราภัสร์ โบรัชตะสุวรรณ์Us รักของเรา,
YND03,0.52,เติ้ล มติมันท์ ศรีบุญเรือง - เฟิร์สวัน วรรณกร เรืองรัตน์เขมจิราต้องรอด, Khemjira The Series 
YND02,0.29,ซี พฤกษ์ พานิช - นุนิว ชวรินทร์ เพริศพิริยะวงศ์ข้ามฟ้าเคียงเธอ,The Next Prince Series
YND01,0.28,เก่ง หฤษฏ์ บัวย้อย - น้ำปิง นภัสกร ปิงเมืองเขมจิราต้องรอด, Khemjira The Series 
YND04,0.03,โทมัส ธีร์ทัศน์ จึงมณีรัตน์ - ก้อง ก้องภพ จิโรจน์มนตรีกี่หมื่นฟ้า,Your Sky Series
YND08,0.03,หยิ่น อานันท์ - วอร์ วนรัตน์Jack & Joker: U Steal My Heart!,
YND05,0.02,มิ้ลค์ พรรษา วอสเบียน - เลิฟ ภัทรานิษฐ์ ลิ้มปติยากรคุณวาฬร้านชำ Whale Store xoxo,
YND09,0.02,หลิงหลิง ศิริลักษณ์ คอง - ออม กรณ์นภัส เศรษฐรัตนพงศ์เพียงเธอ,
